item_name,item_price
Steak Salad Bowl,23.78
Bowl,22.2
Chicken Bowl,16.98
Barbacoa Salad Bowl,11.89
Carnitas Salad Bowl,11.89
Steak Burrito,11.75
Barbacoa Bowl,11.75
Barbacoa Crispy Tacos,11.75
Veggie Salad Bowl,11.25
Veggie Soft Tacos,11.25
Veggie Burrito,11.25
Veggie Bowl,11.25
Chicken Salad,10.98
Steak Crispy Tacos,9.25
Carnitas Soft Tacos,9.25
Carnitas Crispy Tacos,9.25
Steak Soft Tacos,9.25
Barbacoa Soft Tacos,9.25
Steak Bowl,8.99
Steak Salad,8.99
Carnitas Salad,8.99
Carnitas Bowl,8.99
Carnitas Burrito,8.99
Barbacoa Burrito,8.99
Chicken Salad Bowl,8.75
Chicken Crispy Tacos,8.75
Chicken Soft Tacos,8.75
Chicken Burrito,8.49
Veggie Salad,8.49
Veggie Crispy Tacos,8.49
Salad,7.4
Crispy Tacos,7.4
Burrito,7.4
6 Pack Soft Drink,6.49
Chips and Guacamole,4.45
Canned Soft Drink,1.25
Bottled Water,1.09
Pizza,8.00
